MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932817,-0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.3480000,0.0024771,-0.0022559,0.0721885
MsgID.LOCAL_VELOCITY,65.3480000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932813,-0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.5980000,-0.0396006,0.1272289,0.0597957
MsgID.LOCAL_VELOCITY,65.5980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957524,37.7932802,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.8480000,-0.1696752,-0.0816459,0.0380751
MsgID.LOCAL_VELOCITY,65.8480000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957524,37.7932804,-0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,66.0980000,-0.1378356,-0.0826186,0.0076737
MsgID.LOCAL_VELOCITY,66.0980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932826,0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,66.3480000,0.1013912,0.0005588,-0.0268132
MsgID.LOCAL_VELOCITY,66.3480000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957518,37.7932820,0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,66.5980000,0.0292008,-0.0331240,-0.0605638
MsgID.LOCAL_VELOCITY,66.5980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932805,0.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,66.8480000,-0.1267309,-0.0376668,-0.0875862
MsgID.LOCAL_VELOCITY,66.8480000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932818,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,67.0980000,0.0106261,-0.0715669,-0.1040187
MsgID.LOCAL_VELOCITY,67.0980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957535,37.7932807,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,67.3480000,-0.1136406,-0.1776134,-0.1079350
MsgID.LOCAL_VELOCITY,67.3480000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957531,37.7932813,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,67.5980000,-0.0179478,-0.1093019,-0.0999600
MsgID.LOCAL_VELOCITY,67.5980000,-0.0000137,-0.0000001,-0.0001061
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932823,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,67.8480000,0.0861468,0.0221180,-0.0836353
MsgID.LOCAL_VELOCITY,67.8480000,-0.0003084,-0.0004282,-0.0039944
MsgID.STATE,0.0000000,True,True,1
