time, Quad.Est.E.Pos, Quad.Est.S.Z
0.924992,0.081803,0.316295
0.929992,0.082176,0.316417
0.934992,0.082695,0.316600
0.939991,0.083015,0.316723
0.944991,0.083547,0.316908
0.949991,0.083889,0.317033
0.954991,0.084355,0.317220
0.959991,0.084599,0.317346
0.964991,0.085015,0.317535
0.969991,0.085293,0.317662
0.974991,0.085691,0.317854
0.979991,0.085975,0.317983
0.984991,0.086359,0.318176
0.989991,0.086525,0.318306
0.994991,0.086868,0.318502
0.999991,0.087253,0.318634
1.004991,0.105732,0.317503
1.009991,0.106130,0.317622
1.014991,0.106687,0.317801
1.019992,0.107005,0.317922
1.024992,0.107561,0.318103
1.029992,0.107903,0.318224
1.034992,0.108401,0.318408
1.039993,0.108714,0.318530
1.044993,0.109243,0.318716
1.049993,0.109598,0.318840
1.054993,0.110125,0.319027
1.059994,0.110487,0.319153
1.064994,0.111019,0.319342
1.069994,0.111311,0.319469
1.074994,0.111812,0.319660
1.079994,0.112179,0.319788
1.084995,0.112669,0.319981
1.089995,0.112944,0.320111
1.094995,0.113386,0.320306
1.099995,0.113637,0.320437
1.104996,0.108529,0.319302
1.109996,0.108592,0.319421
1.114996,0.108889,0.319600
1.119996,0.109112,0.319720
1.124997,0.109459,0.319901
1.129997,0.109707,0.320023
1.134997,0.110122,0.320206
1.139997,0.110408,0.320329
1.144997,0.110798,0.320513
1.149998,0.111035,0.320637
1.154998,0.111387,0.320824
1.159998,0.111586,0.320949
1.164998,0.111952,0.321138
1.169999,0.112178,0.321265
1.174999,0.112561,0.321455
1.179999,0.112773,0.321583
1.184999,0.113124,0.321776
1.190000,0.113130,0.321905
1.195000,0.113415,0.322099
1.200000,0.113596,0.322230
1.205000,0.113348,0.321092
1.210001,0.113767,0.321210
1.215001,0.114028,0.321390
1.220001,0.114199,0.321510
1.225001,0.114427,0.321691
1.230001,0.114627,0.321812
1.235002,0.114789,0.321995
1.240002,0.114850,0.322117
1.245002,0.115062,0.322302
1.250002,0.115213,0.322425
1.255003,0.115450,0.322612
1.260003,0.115652,0.322737
1.265003,0.115894,0.322925
1.270003,0.115900,0.323051
1.275004,0.116127,0.323241
1.280004,0.116188,0.323368
1.285004,0.116417,0.323560
1.290004,0.116485,0.323689
1.295004,0.116666,0.323883
1.300005,0.116700,0.324013
1.305005,0.092215,0.322873
1.310005,0.091991,0.322991
1.315005,0.091878,0.323170
1.320006,0.091868,0.323290
1.325006,0.091701,0.323471
1.330006,0.091635,0.323592
1.335006,0.091394,0.323774
1.340007,0.091238,0.323896
1.345007,0.090916,0.324080
1.350007,0.090690,0.324204
1.355007,0.090354,0.324390
1.360008,0.090151,0.324514
1.365008,0.089783,0.324702
1.370008,0.089596,0.324827
1.375008,0.089210,0.325017
1.380008,0.088991,0.325144
1.385009,0.088585,0.325335
1.390009,0.088578,0.325463
1.395009,0.088217,0.325656
1.400009,0.088077,0.325786
1.405010,0.099895,0.324645
1.410010,0.099699,0.324763
1.415010,0.099505,0.324942
1.420010,0.099438,0.325061
1.425011,0.099219,0.325242
1.430011,0.099006,0.325362
1.435011,0.098798,0.325544
1.440011,0.098645,0.325666
1.445011,0.098413,0.325850
1.450012,0.098242,0.325972
1.455012,0.097991,0.326158
1.460012,0.097813,0.326282
1.465012,0.097535,0.326469
1.470013,0.097259,0.326594
1.475013,0.096945,0.326783
1.480013,0.096692,0.326909
1.485013,0.096385,0.327100
1.490014,0.096225,0.327228
1.495014,0.095909,0.327420
